gap_duration,contrast,n_flashes,response,rt,subject
42,0.5,2,1,0.42578125,2
28,1,2,1,0.443359375,2
7,1,2,0,0.556640625,2
14,0.5,2,0,0.490234375,2
0,1,1,0,0.552734375,2
0,0.5,1,0,0.818359375,2
35,0.5,2,1,0.451171875,2
42,1,2,1,0.466796875,2
0,0.5,1,0,0.564453125,2
56,0.5,2,1,0.4296875,2
56,1,2,1,0.505859375,2
0,0.5,1,0,0.5078125,2
21,0.5,2,1,0.76171875,2
7,0.5,2,0,0.546875,2
7,0.5,2,0,0.5859375,2
0,1,1,0,0.556640625,2
0,0.5,1,0,0.51171875,2
0,1,1,0,0.357421875,2
7,0.5,2,0,0.453125,2
42,0.5,2,0,0.67578125,2
7,1,2,0,0.48046875,2
7,0.5,2,0,0.45703125,2
49,1,2,1,0.583984375,2
0,0.5,1,0,0.49609375,2
56,1,2,1,0.41015625,2
42,0.5,2,1,0.517578125,2
0,0.5,1,0,0.548828125,2
0,0.5,1,0,0.583984375,2
49,0.5,2,1,0.779296875,2
0,1,1,0,0.5546875,2
0,0.5,1,0,0.744140625,2
0,1,1,0,0.5,2
0,1,1,0,0.48046875,2
42,1,2,1,0.59765625,2
0,0.5,1,0,0.533203125,2
56,1,2,1,0.380859375,2
0,1,1,0,0.57421875,2
0,1,1,0,0.578125,2
56,0.5,2,1,0.51953125,2
7,1,2,0,0.736328125,2
0,1,1,0,0.59765625,2
0,0.5,1,0,0.52734375,2
49,0.5,2,1,0.439453125,2
42,1,2,1,0.591796875,2
28,1,2,1,0.451171875,2
7,1,2,0,0.67578125,2
0,0.5,1,0,0.568359375,2
0,1,1,0,0.595703125,2
0,0.5,1,0,0.5,2
0,0.5,1,0,0.5546875,2
56,0.5,2,1,0.546875,2
28,0.5,2,1,0.4375,2
0,0.5,1,0,0.5703125,2
0,0.5,1,0,0.4609375,2
0,0.5,1,0,0.416015625,2
21,1,2,1,0.576171875,2
0,1,1,0,0.544921875,2
0,1,1,0,0.455078125,2
14,1,2,0,0.673828125,2
0,1,1,0,0.482421875,2
35,1,2,1,0.404296875,2
56,1,2,1,0.486328125,2
0,1,1,0,0.53125,2
14,1,2,1,0.41015625,2
0,0.5,1,0,0.38671875,2
0,0.5,1,0,0.552734375,2
35,1,2,1,0.423828125,2
28,0.5,2,1,0.57421875,2
56,1,2,1,0.4609375,2
14,0.5,2,1,0.384765625,2
0,1,1,0,0.4296875,2
0,0.5,1,0,0.5703125,2
14,1,2,0,0.41796875,2
0,1,1,0,0.501953125,2
7,1,2,0,0.552734375,2
0,0.5,1,0,0.505859375,2
0,1,1,0,0.609375,2
28,1,2,1,0.556640625,2
0,0.5,1,0,0.546875,2
28,0.5,2,1,0.671875,2
28,0.5,2,1,0.58984375,2
28,0.5,2,1,0.787109375,2
49,1,2,1,0.513671875,2
56,1,2,1,0.560546875,2
0,1,1,0,0.689453125,2
56,0.5,2,1,0.576171875,2
7,1,2,0,0.556640625,2
49,1,2,1,0.533203125,2
0,1,1,0,0.48046875,2
35,0.5,2,1,0.513671875,2
49,1,2,1,0.44921875,2
49,1,2,1,0.548828125,2
7,1,2,0,0.578125,2
7,1,2,0,0.517578125,2
0,0.5,1,0,0.359375,2
0,1,1,0,0.525390625,2
14,0.5,2,0,0.4296875,2
0,1,1,0,0.359375,2
0,0.5,1,0,0.455078125,2
49,0.5,2,1,0.64453125,2
0,1,1,0,0.533203125,2
7,1,2,0,0.56640625,2
49,0.5,2,1,0.68359375,2
49,1,2,0,0.408203125,2
